date,kwhh
2013-11-19,57394.5534752
2013-11-20,61145.562461
2013-11-21,60056.1888097
2013-11-22,59391.5021921
2013-11-23,60714.5909278
2013-11-24,63850.8712639
2013-11-25,59434.0295377
2013-11-26,58795.5126696
2013-11-27,57991.2119168
2013-11-28,56715.4284461
2013-11-29,56413.7831775
2013-11-30,59138.1233667
2013-12-01,62882.7979916
2013-12-02,57622.5689453
2013-12-03,58496.7828034
2013-12-04,58200.035727
2013-12-05,60576.4362111
2013-12-06,59418.4968358
2013-12-07,61052.2207411
2013-12-08,61864.4516586
2013-12-09,57465.2321879
2013-12-10,58189.2915131
2013-12-11,59826.4034301
2013-12-12,59475.3025846
2013-12-13,58225.1483089
2013-12-14,59997.7792
2013-12-15,62636.0630501
2013-12-16,57067.8427512
2013-12-17,58089.9828687
2013-12-18,57742.6085887
2013-12-19,58491.8146373
2013-12-20,58721.90065
2013-12-21,61953.6293228
2013-12-22,60987.8754611
2013-12-23,61532.6287463
2013-12-24,61178.4144125
2013-12-25,64006.1472595
2013-12-26,59479.8458527
2013-12-27,59522.737601
2013-12-28,58067.1694301
2013-12-29,61101.2433071
2013-12-30,60284.8542625
2013-12-31,60749.0634502
2014-01-01,62730.8873061
2014-01-02,57250.2934603
2014-01-03,58605.6232771
2014-01-04,61162.9953842
2014-01-05,64330.108711
2014-01-06,58194.8415605
2014-01-07,57479.2605319
2014-01-08,56131.3699416
2014-01-09,56509.6637745
2014-01-10,57157.2089098
2014-01-11,58618.0086415
2014-01-12,64820.1292897
2014-01-13,57754.6615418
2014-01-14,57586.0328963
2014-01-15,56830.2191335
2014-01-16,55616.6117359
2014-01-17,56551.3624183
2014-01-18,58633.4838421
2014-01-19,53910.9058367
2014-01-20,57874.5597114
2014-01-21,57671.6905559
2014-01-22,56392.1263932
2014-01-23,57338.2993245
2014-01-24,57825.2734983
2014-01-25,58894.1033072
2014-01-26,64526.6405599
2014-01-27,59568.6172782
2014-01-28,57450.0913583
2014-01-29,59770.9329349
2014-01-30,59162.0109451
2014-01-31,60013.1200279
2014-02-01,59243.8331589
2014-02-02,60994.7292457
2014-02-03,56975.3372635
2014-02-04,56043.7976869
2014-02-05,57543.5418528
2014-02-06,57719.1689659
2014-02-07,55300.4836192
2014-02-08,58297.7057941
2014-02-09,61441.9401394
2014-02-10,56715.1210578
2014-02-11,57641.1832282
2014-02-12,58757.5485951
2014-02-13,56755.9700561
2014-02-14,59450.8958101
2014-02-15,57670.6666241
2014-02-16,58119.2737529
2014-02-17,55073.5020566
2014-02-18,54006.5263387
2014-02-19,53458.5145418
2014-02-20,52932.620166
2014-02-21,52632.704776
2014-02-22,53945.8686503
2014-02-23,57379.0936625
2014-02-24,51994.5473277
2014-02-25,51423.5087911
2014-02-26,50943.3057755
2014-02-27,51678.185693
2014-02-28,1042.26598975
